"filename", "language", "HTML", "TypeScript", "PostCSS", "SCSS", "comment", "blank", "total"
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.component.css", "PostCSS", 0, 0, 0, 0, 11, 1, 12
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.component.html", "HTML", 15, 0, 0, 0, 0, 2, 17
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.component.ts", "TypeScript", 0, 31, 0, 0, 0, 12, 43
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\glucose.ts", "TypeScript", 0, 14, 0, 0, 0, 2, 16
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\update-glucose-request.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\User\glucose\update-glucose-request.ts", "TypeScript", 0, 9, 0, 0, 0, 3, 12
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\_header.component-theme.scss", "SCSS", 0, 0, 0, 9, 0, 4, 13
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.css", "PostCSS", 0, 0, 0, 0, 0, 3, 3
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.html", "HTML", 37, 0, 0, 0, 0, 1, 38
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.scss", "SCSS", 0, 0, 0, 3, 0, 2, 5
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\header\header.component.ts", "TypeScript", 0, 32, 0, 0, 0, 7, 39
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.html", "HTML", 8, 0, 0, 0, 0, 3, 11
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\logged-in.component.ts", "TypeScript", 0, 11, 0, 0, 0, 4, 15
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\my-profile.component.css", "PostCSS", 0, 0, 13, 0, 0, 5, 18
